id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
1742,1729,1729,2008/2009,10,"2008-10-29 00:00:00",489135,8559,8668,0,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,23932,26454,23783,24336,23785,37996,23933,35532,24372,23934,34261,31465,30371,24004,23268,33086,24011,39618,24006,36012,24160,30735
1743,1729,1729,2008/2009,10,"2008-10-29 00:00:00",489136,8667,8455,0,3,1,2,4,6,8,3,5,7,5,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,5,5,5,8,10,10,1,3,3,3,3,7,7,7,10,10,10,23021,40132,26066,34275,23022,34437,23023,30595,39073,23352,26143,30859,25925,30911,30627,38834,32345,30631,30686,30630,30679,37804
1744,1729,1729,2008/2009,10,"2008-10-29 00:00:00",489137,10194,8472,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,23794,40574,40005,40695,35467,22994,23333,24133,25668,23314,38755,24527,36786,24740,24408,43259,38802,24411,,30352,23927,33418
1745,1729,1729,2008/2009,10,"2008-10-29 00:00:00",489138,8650,8462,1,0,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,5,2,4,6,8,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,8,8,8,8,11,30660,37442,24134,30617,34222,34601,30889,95327,30915,30618,37139,36286,24630,26108,24216,40987,25543,24653,25517,23988,63520,30830
1746,1729,1729,2008/2009,10,"2008-10-29 00:00:00",489139,10252,8655,3,2,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,7,7,7,7,10,10,30380,30357,43280,33863,23282,38807,38609,23782,24780,23354,23264,30622,49571,19020,23921,37764,30842,38711,24136,23916,,34947
1747,1729,1729,2008/2009,10,"2008-10-28 00:00:00",489140,10261,8659,2,1,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,7,11,24224,25518,24228,30929,37475,33852,40565,24205,34574,37799,24225,36373,31731,42594,26527,24728,40055,24664,38433,24171,23257,32570
1748,1729,1729,2008/2009,10,"2008-10-29 00:00:00",489141,9879,8528,2,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30633,37266,23780,26777,24781,24020,24843,30338,24737,31907,24741,34421,35472,25005,111865,97988,25150,38816,34987,35327,34466,127857
1749,1729,1729,2008/2009,11,"2008-11-01 00:00:00",489142,10260,8667,4,3,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,3,5,7,5,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,5,5,5,8,10,10,30726,30615,30620,30865,32569,30893,34944,40961,40945,27430,30829,23021,40132,26066,34275,23022,34437,23946,30595,39073,23352,26143
1750,1729,1729,2008/2009,11,"2008-11-01 00:00:00",489143,8586,8650,2,1,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,7,7,7,7,7,11,30455,46403,30354,38697,40006,23760,34182,24656,25421,31097,23949,30660,37442,30617,25984,414792,37139,30618,38818,30889,37920,24635
1751,1729,1729,2008/2009,11,"2008-11-01 00:00:00",489144,8668,9879,1,0,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,31465,30371,24004,23268,33086,36012,24006,39618,24011,30876,24160,30633,37266,23780,26777,24781,24020,24843,30338,24737,24741,31907
